=== Worker Status Sun Sep 28 16:10:18 MDT 2025 ===
Active PIDs:

Log sizes:
  logs/workers/diagnostic-1.log: 555 bytes
  logs/workers/diagnostic-2.1.log: 555 bytes
  logs/workers/diagnostic-3.1.log: 555 bytes
  logs/workers/diagnostic-3.2.log: 555 bytes
  logs/workers/diagnostic-4.1.log: 555 bytes
  logs/workers/diagnostic-6.1.log: 555 bytes
  logs/workers/diagnostic-6.2.log: 555 bytes
  logs/workers/diagnostic-7.1.log: 555 bytes
  logs/workers/diagnostic-8.1.log: 555 bytes
  logs/workers/task-1-claude.log: 555 bytes
  logs/workers/task-1-cursor.log: 450383 bytes
  logs/workers/task-1-worker.log: 0 bytes
  logs/workers/task-1.1-claude-20250927-094725.log: 555 bytes
  logs/workers/task-1.1-claude.log: 555 bytes
  logs/workers/task-1.1-cursor-20250927-094740.log: 4629 bytes
  logs/workers/task-2.1-claude.log: 555 bytes
  logs/workers/task-2.1-cursor.log: 401607 bytes
  logs/workers/task-2.1-worker.log: 0 bytes
  logs/workers/task-2.2-claude.log: 969 bytes
  logs/workers/task-2.2-cursor.log: 344490 bytes
  logs/workers/task-2.3-cursor.log: 349462 bytes
  logs/workers/task-3.1-claude.log: 985 bytes
  logs/workers/task-3.1-cursor.log: 333906 bytes
  logs/workers/task-3.2-cursor.log: 399314 bytes
  logs/workers/task-4.1-claude.log: 982 bytes
  logs/workers/task-4.1-cursor.log: 401740 bytes
  logs/workers/task-5.1-claude.log: 978 bytes
  logs/workers/task-5.1-cursor.log: 440670 bytes
  logs/workers/task-6.1-claude.log: 980 bytes
  logs/workers/task-6.1-cursor.log: 694573 bytes
  logs/workers/task-6.2-cursor.log: 276422 bytes
  logs/workers/task-7.1-claude.log: 974 bytes
  logs/workers/task-7.1-cursor.log: 575463 bytes
  logs/workers/task-7.2-cursor.log: 607339 bytes
  logs/workers/task-8.1-cursor.log: 281612 bytes
  logs/workers/test-probe-cursor.log: 3927 bytes

